Street Number	Street Name	Street Side	Skytrain Station Name	BIA	Number of Racks	Year Installed
530	Drake St	South			1	Prior 2010
2505	Dunbar St	West			1	Prior 2010
3204	Dunbar St	East			1	Prior 2010
3308	Dunbar St	East			1	Prior 2010
4219	Dunbar St	West			1	Prior 2010
4231	Dunbar St	West			1	Prior 2010
4243	Dunbar St	West			1	2012
4326	Dunbar St	East			1	Prior 2010
4467	Dunbar St	West			1	Prior 2010
5601	Dunbar St	West			2	Prior 2010
2177	Dundas St	North			1	2012
37	Dunlevy Av	West		STRC	1	2012
37	Dunlevy Av	West		STRC	1	2013
55	Dunlevy Av	West		STRC	1	2013
211	Dunlevy Av	West			2	2012
433	Dunlevy Av	West		STRC	2	2012
111	Dunsmuir St	West		n/a	2	2016
900	Dunsmuir St	South			1	Prior 2010
111	E 10th	North			2	2014
1700	E 10th Av	North			1	2010
1800	E 11th Av	North			1	2012
2800	E 12th Av	South			1	2012
617	E 15th Av	North			1	2012
639	E 15th St	North			1	2013
649	E 15th St	North			1	2013
2450	E 24th Av	South	Nanaimo		3	2012
143	E 3rd	North			1	2014
683	E 44th Av	North			2	2015
696	E 45th Av	South			2	2012
45	E 6th Av	North			1	2015
48	E 6th Av	South			2	2012
203	E 6th Av	North			2	Prior 2010
209	E 6th Av	North			1	Prior 2010
1600	E 6th Av	South			1	2012
265	E 7th Av	North			3	2015
105	E Broadway	North			1	Prior 2010
127	E Broadway	North			1	Prior 2010
518	E Broadway	South			1	2015
615	E Broadway	North			1	Prior 2010
1725	E Broadway	North	Commercial-Broadway		4	2012
8	E Cordova St	South		GT	1	2012
208	E Georgia St	South		CHTN	1	2012
217	E Georgia St	North		CHTN	1	2016
501	E Georgia St	North		CHTN	2	2012
320	E Hastings St	South			3	2015
601	E Hastings St	North		STRC	1	2014
708	E Hastings St	South			1	2015
717	E Hastings St	North		STRC	1	2014
769	E Hastings St	North		STRC	2	2012
769	E Hastings St	North		STRC	1	2013
828	E Hastings St	South			1	2015
872	E Hastings St	South			1	2015
875	E Hastings St	North			1	2015
878	E Hastings St	South			1	2015
890	E Hastings St	South		STRC	3	2016
1489	E Hastings St	North			1	2012
1736	E Hastings St	South			1	2012
1756	E Hastings St	South			1	2012
1909	E Hastings St	North			1	Prior 2010
2296	E Hastings St	South		STRC	1	2014
2342	E Hastings St	South			1	Prior 2010
2465	E Hastings St	North		HN	1	2013
2585	E Hastings St	North			1	Prior 2010
2674	E Hastings St	South			1	Prior 2010
3433	E Hastings St	North			1	Prior 2010
3550	E Hastings St	South			3	2011
3578	E Hastings St	South			1	Prior 2010
3660	E Hastings St	South			2	2011
100	E Pender St	South			1	Prior 2010
1338	Franklin St	South			2	2015
3381	Fraser St	West			1	2013
3469	Fraser St	West			1	2013
3497	Fraser St	West			1	2012
4097	Fraser St	West			1	2012
4129	Fraser St	West			1	2012
4208	Fraser St	East		n/a	3	2016
4230	Fraser St	East			1	2012
4287	Fraser St	West			2	2013
4288	Fraser St	East			1	2012
4305	Fraser St	West			1	2012
4950	Fraser St	East			1	2012
5955	Fraser St	West			1	2015
5965	Fraser St	West			1	2015
6434	Fraser St	East		SHL	1	2011
1154	Gilford St	East			1	Prior 2010
789	Gore Av	West			2	Prior 2010
789	Gore St	North		CHTN	2	2013
2825	Grandview Highway	North			2	2015
470	Granville St	East			1	Prior 2010
736	Granville St	East			1	Prior 2010
819	Granville St	West			1	Prior 2010
850	Granville St	East			1	Prior 2010
881	Granville St	West			1	Prior 2010
1176	Granville St	East			2	Prior 2010
1306	Granville St	East			3	2015
2516	Granville St	East		SGV	1	2013
2705	Granville St	West		SGV	1	2013
2814	Granville St	East			1	Prior 2010
2888	Granville St	East		SGV	1	2013
2977	Granville St	West		SGV	1	2013
2996	Granville St	East			1	Prior 2010
2997	Granville St	West		SGV	1	2013
3007	Granville St	West			1	2015
7985	Granville St	West			2	Prior 2010
8075	Granville St	West			2	Prior 2010
8155	Granville St	West		MRP	1	2012
8324	Granville St	East		MRP	1	2012
8594	Granville St	East			1	Prior 2010
8630	Granville St	East		MRP	1	2012
8662	Granville St	East			1	Prior 2010
2500	Heather St	East			1	2012
3261	Heather St	West			1	Prior 2010
3265	Heather St	West			1	2015
3275	Heather St	West			1	2015
3275	Heather St	West			2	2015
600	Helmcken St	North			3	2012
1085	Helmcken St	West			1	2011
318	Homer St	East			1	Prior 2010
891	Homer St	West			2	Prior 2010
1008	Homer St	South		YT	5	2016
1068	Homer St	East			1	Prior 2010
1122	Homer St	East			1	2011
1148	Homer St	East			1	2011
1001	Hornby St	West			3	2015
1054	Hornby St	East			1	2012
1090	Hornby St	East			1	2012
1451	Hornby St	West			3	2012
535	Howe St	West			1	Prior 2010
595	Howe St	West			2	2015
5128	Joyce St	East			1	2014
39	Kingsway	North			3	2015
76	Kingsway	West			2	2012
398	Kingsway	South			1	2013
772	Kingsway	South			1	2015
868	Kingsway	South			1	Prior 2010
888	Kingsway	South			1	2015
1009	Kingsway	North			1	2015
1021	Kingsway	North			1	2015
1022	Kingsway	South			1	2015
1022	Kingsway	South			1	2015
1096	Kingsway	South			1	2015
1134	Kingsway	South			1	2015
1279	Kingsway	North			1	2015
1333	Kingsway	North			1	2014
1398	Kingsway	South			1	2014
1680	Kingsway	South			1	2013
1818	Kingsway	South			1	2013
2066	Kingsway	South			1	2012
2386	Kingsway	South			1	2014
2392	Kingsway	South			1	2014
3544	Kingsway	South		CWD	1	2013
3665	Kingsway	North		CWD	2	2013
3919	Knight St	West			1	2014
5818	Lincoln St	East			1	Prior 2010
4021	Macdonald St	West		n/a	1	2016
4075	Macdonald St	West		n/a	1	2016
4105	Macdonald St	West		n/a	1	2016
179	Main St	West			1	2015
231	Main St	West			2	2013
309	Main St	West			1	2012
728	Main St	East			1	2012
1008	Main St	South			1	2012
1011	Main St	West			1	Prior 2010
1399	Main St	West	Main St-Science World		4	2012
2136	Main St	East			2	2015
2345	Main St	West			2	2015
2630	Main St	East			2	2015
2702	Main St	East			1	2015
2812	Main St	East			1	2012
2899	Main St	West			1	2015
2949	Main St	West			1	Prior 2010
3010	Main St	East			1	2015
3096	Main St	East			2	2015
3102	Main St	East			1	Prior 2010
3425	Main St	West			2	2015
3443	Main St	West			1	2015
3511	Main St	West			2	2015
3573	Main St	West			1	2015
3699	Main St	West			2	2015
3835	Main St	West			1	2012
3882	Main St	East			1	2015
4071	Main St	West			2	2013
4136	Main St	East			1	2015
4162	Main St	East			1	2015
4205	Main St	East			1	Prior 2010
4262	Main St	East			1	2015
4288	Main St	East			1	2015
4363	Main St	West			1	Prior 2010
4514	Main St	East			1	2015
4515	Main St	West			1	2011
4560	Main St	East			1	2015
4628	Main St	East			2	2015
5749	Main St	West			1	Prior 2010
900	Mainland St	West			1	2012
1316	Nanaimo St	East			1	2014
1340	Nanaimo St	East			1	2014
200	Nelson St	South		YT	2	2016
3108	Oak St	East			2	2015
3208	Oak St	East			1	Prior 2010
189	Ontario Place	North			1	Prior 2010
2515	Ontario St	West			1	Prior 2010
1108	Pacific Boulevard	South		YT	1	2016
1165	Pacific Boulevard	North		YT	1	2016
1195	Pacific Boulevard	North		YT	2	2016
1196	Pacific Boulevard	South			1	2015
1213	Pacific Boulevard	North			1	2015
1213	Pacific Boulevard	North		YT	1	2016
1267	Pacific Boulevard	North			1	2015
1282	Pacific Boulevard	South			1	2015
1300	Pacific Boulevard	South		n/a	3	2016
2855	Point Grey Rd	North			2	2014
3215	Point Grey Rd	North			2	2014
253	Powell St	North			1	2012
300	Powell St	South		STRC	2	2012
374	Powell St	South		STRC	1	2012
398	Powell St	South		STRC	1	2012
403	Powell St	North		STRC	1	2012
537	Powell St	North		STRC	3	2012
543	Powell St	North			1	Prior 2010
668	Powell St	South			2	2015
686	Powell St	South			2	2015
825	Powell St	North			1	2015
1818	Quebec St	East		n/a	3	2016
2043	Quebec St	West			1	2012
343	Railway St	North			1	Prior 2010
439	Railway St	North			1	2015
440	Richards St	West			1	2011
577	Richards St	West			1	2011
808	Richards St	East			1	Prior 2010
971	Richards St	West			2	Prior 2010
1188	Richards St	East			2	Prior 2010
1320	Richards St	East			2	Prior 2010
1400	Richards St	West			1	2012
111	Robson St	North			1	2011
111	Robson St	West		n/a	2	2016
118	Robson St	East		YT	2	2016
211	Robson St	North		n/a	2	2016
238	Robson St	South		YT	1	2016
255	Robson St	North		n/a	1	2016
265	Robson St	North		n/a	1	2016
275	Robson St	North		n/a	2	2016
280	Robson St	South		YT	1	2016
350	Robson St	South		YT	1	2016
480	Robson St	South			2	Prior 2010
1025	Robson St	North			2	Prior 2010
1175	Robson St	North			1	Prior 2010
1187	Robson St	North			1	Prior 2010
1225	Robson St	North			1	Prior 2010
1280	Robson St	South			1	Prior 2010
1290	Robson St	South			1	Prior 2010
1553	Robson St	North			1	Prior 2010
1688	Robson St	South			1	Prior 2010
1701	Robson St	North			1	Prior 2010
1741	Robson St	North			1	Prior 2010
1785	Robson St	North			2	Prior 2010
1793	Robson St	North			1	Prior 2010
655	Seymour St	West	Granville St		4	2012
901	Seymour St	West			1	Prior 2010
930	Seymour St	North		DVBIA	3	2016
1022	Seymour St	South		DVBIA	3	2016
1067	Seymour St	West		DVBIA	1	2016
1107	Seymour St	West			3	Prior 2010
1160	Seymour St	East			1	Prior 2010
101	Smithe St	North		YT	3	2016
225	Smithe St	North		YT	2	2016
355	Smithe St	North		DVBIA	2	2016
600	Stamps Landing	south		n/a	2	2016
2025	Stephens St	West			2	2013
535	Thurlow St	West			1	2015
2590	Trimble St	East		PGV	1	2011
219	Union St	North		CHTN	1	2012
219	Union St	North		CHTN	1	2013
241	Union St	North		CHTN	1	2012
243	Union St	North		CHTN	1	2012
1033	Venables St	North		STRC	1	2012
1255	Venables St	North			1	2015
1495	Venables St	North			1	2015
1685	Venables St	North			1	2015
5026	Victoria Drive	East		VDR	1	2013
5052	Victoria Drive	East		VDR	1	2012
5157	Victoria Drive	West		VDR	1	2012
5265	Victoria Drive	West		VDR	1	2012
5393	Victoria Drive	West		VDR	1	2012
5448	Victoria Drive	East		VDR	1	2012
5449	Victoria Drive	West		VDR	1	2012
5492	Victoria Drive	East		VDR	1	2012
5501	Victoria Drive	West		VDR	1	2012
5656	Victoria Drive	East		VDR	1	2012
5723	Victoria Drive	West		VDR	1	2012
5732	Victoria Drive	East		VDR	1	2012
5780	Victoria Drive	East		VDR	1	2012
5853	Victoria Drive	West		VDR	1	2012
5885	Victoria Drive	West		VDR	1	2012
6404	Victoria Drive	East		VDR	1	2012
6440	Victoria Drive	East		VDR	1	2012
6945	Victoria Drive	West		VDR	1	2012
6979	Victoria Drive	West		VDR	1	2012
3702	W 10th Av	South			1	Prior 2010
3743	W 10th Av	North			1	Prior 2010
3783	W 10th Av	North			1	Prior 2010
4330	W 10th Av	South		PGV	1	2011
4346	W 10th Av	South			1	Prior 2010
4441	W 10th Av	North			1	Prior 2010
4480	W 10th Av	South			1	Prior 2010
4485	W 10th Av	North		PGV	1	2011
4516	W 10th Av	South			1	Prior 2010
4520	W 10th Av	South		PGV	1	2011
4580	W 10th Av	South			1	Prior 2010
1500	W 13th Av	South			1	2012
980	W 15th Av	South			1	2015
2595	W 16th Av	North			1	2012
2595	W 16th Av	North			1	2012
2603	W 16th Av	North			2	2012
2607	W 16th Av	North			1	Prior 2010
2756	W 16th Av	South			1	Prior 2010
85	W 1st Av	South			12	2014
1901	W 1st Av	North			1	2015
2201	W 1st Av	West			1	2015
988	W 21st Av	South			1	Prior 2010
118	W 2nd Av	South			1	2012
525	W 2nd Av	North	Olympic Village		4	2012
1650	W 2nd Av	South			1	2012
105	W 3rd Av	North			1	2012
126	W 3rd Av	South			1	2012
190	W 3rd Av	South			1	2012
290	W 3rd Av	South			1	2012
1777	W 3rd Av	North			1	Prior 2010
2028	W 41st Av	South			1	Prior 2010
2094	W 41st Av	South			1	2012
2225	W 41st Av	North			1	Prior 2010
2305	W 41st Av	North			1	2012
2326	W 41st Av	South			1	2012
2380	W 41st Av	South			1	Prior 2010
2443	W 41st Av	North			1	2012
2448	W 41st Av	South			1	2012
3502	W 41st Av	South		DBR	1	2016
3535	W 41st Av	North		DBR	5	2016
3584	W 41st Av	South		DBR	2	2016
3591	W 41st Av	North			1	Prior 2010
1988	W 49th Av	South			1	Prior 2010
165	W 4th	North			3	2014
1618	W 4th Av	South			1	Prior 2010
1628	W 4th Av	South			1	2012
1731	W 4th Av	North			1	Prior 2010
1793	W 4th Av	North			2	2012
1855	W 4th Av	North			1	2011
1869	W 4th Av	North			1	Prior 2010
1885	W 4th Av	North			1	Prior 2010
1961	W 4th Av	North			1	2011
2021	W 4th Av	North			1	2011
2052	W 4th Av	South			1	2011
2089	W 4th Av	North			1	Prior 2010
2141	W 4th Av	North			1	2011
2141	W 4th Av	North			1	2010
2170	W 4th Av	South			1	2011
2170	W 4th Av	South			1	2010
2199	W 4th Av	North			1	2011
2228	W 4th Av	South			1	2011
2274	W 4th Av	South			1	2011
2340	W 4th Av	South			1	2011
2383	W 4th Av	North			1	2011
2383	W 4th Av	North			1	2010
2388	W 4th Av	South			1	Prior 2010
2645	W 4th Av	North			1	2012
2660	W 4th Av	South			1	Prior 2010
2716	W 4th Av	South			1	2012
2741	W 4th Av	North			1	Prior 2010
2744	W 4th Av	South		n/a	1	2016
2766	W 4th Av	South		n/a	2	2016
2836	W 4th Av	South			1	Prior 2010
2880	W 4th Av	South			1	2012
2923	W 4th Av	North			1	2012
2954	W 4th Av	South			1	2012
3570	W 4th Av	South			1	2012
3571	W 4th Av	North			2	2012
3598	W 4th Av	South			1	2012
3600	W 4th Av	South			1	Prior 2010
3605	W 4th Av	North			1	2012
3608	W 4th Av	South			1	2012
3621	W 4th Av	North			1	Prior 2010
3644	W 4th Av	South			1	Prior 2010
3651	W 4th Av	North			1	Prior 2010
3689	W 4th Av	North			1	2012
164	W 5th Av	South			1	Prior 2010
32	W 5th Ave	South			1	2014
1520	W 6th Av	South			1	Prior 2010
1595	W 6th Av	North			1	Prior 2010
149	W 7th Av	North			3	2015
228	W 7th Av	South			1	2012
473	W 8th	North			1	2014
510	W 8th	South			3	2014
156	W 8th Av	South			1	2012
260	W 8th Av	South			2	2012
288	W 8th Av	South			1	2012
342	W 8th Av	South			4	2011
386	W 8th Av	South			1	Prior 2010
390	W 8th Av	South			1	Prior 2010
900	W 8th Av	North			1	2012
1500	W 8th Av	South			1	2012
1762	W 8th Av	South			1	2015
1768	W 8th Av	South			1	2015
130	W Broadway	South			4	Prior 2010
155	W Broadway	North			1	Prior 2010
222	W Broadway	South			1	Prior 2010
500	W Broadway	South			1	Prior 2010
601	W Broadway	North			1	Prior 2010
665	W Broadway	North			2	Prior 2010
885	W Broadway	North			1	Prior 2010
906	W Broadway	South			1	Prior 2010
1089	W Broadway	North			1	2015
1268	W Broadway	South			1	Prior 2010
1278	W Broadway	South			1	2012
1285	W Broadway	North			2	2013
1701	W Broadway	North			1	Prior 2010
1755	W Broadway	North			1	Prior 2010
1867	W Broadway	North			2	Prior 2010
2154	W Broadway	South			1	2015
2221	W Broadway	North			1	2014
2245	W Broadway	North			1	Prior 2010
2518	W Broadway	South			1	Prior 2010
2545	W Broadway	North			3	Prior 2010
2582	W Broadway	South			1	Prior 2010
2665	W Broadway	North			3	Prior 2010
2732	W Broadway	South			1	Prior 2010
2902	W Broadway	West		WB	1	2011
2909	W Broadway	North		WB	1	2011
2979	W Broadway	North		WB	1	2011
3031	W Broadway	North		WB	1	2011
3036	W Broadway	South			1	Prior 2010
3102	W Broadway	South		WB	1	2011
3102	W Broadway	West		WB	2	2013
3105	W Broadway	West		WB	1	2011
3124	W Broadway	South			1	2012
3143	W Broadway	North		WB	1	2011
3145	W Broadway	North			1	Prior 2010
3156	W Broadway	South			1	Prior 2010
3156	W Broadway	South		WB	1	2011
3236	W Broadway	South			1	Prior 2010
3236	W Broadway	South		WB	1	2011
3291	W Broadway	North			1	Prior 2010
3308	W Broadway	South		WB	1	2011
3311	W Broadway	North			1	Prior 2010
3313	W Broadway	North		WB	1	2011
3428	W Broadway	South		WB	1	2011
3431	W Broadway	North		WB	1	2011
3496	W Broadway	South			1	Prior 2010
3555	W Broadway	North			1	Prior 2010
3661	W Broadway	North			1	Prior 2010
3673	W Broadway	North			1	Prior 2010
108	W Cordova St	South		GT	1	2012
175	W Cordova St	East		GT	2	2016
304	W Cordova St	North		GT	1	2016
403	W Cordova St	North			1	Prior 2010
415	W Cordova St	North		GT	2	2012
555	W Georgia St	North			1	Prior 2010
801	W Georgia St	North			1	2015
925	W Georgia St	North			3	Prior 2010
1025	W Georgia St	North			1	2010
1030	W Georgia St	South			1	Prior 2010
1055	W Georgia St	North			4	Prior 2010
1616	W Georgia St	South			1	Prior 2010
43	W Hastings St	North			1	Prior 2010
128	W Hastings St	South			1	2012
198	W Hastings St	South			3	2011
207	W Hastings St	West		HC	2	2016
219	W Hastings St	North			1	2011
300	W Hastings St	South			1	2011
412	W Hastings St	South			1	Prior 2010
510	W Hastings St	South			2	Prior 2010
555	W Hastings St	North			1	Prior 2010
602	W Hastings St	South			2	2010
675	W Hastings St	North			1	Prior 2010
688	W Hastings St	South			1	Prior 2010
700	W Hastings St	South			2	2010
838	W Hastings St	South			2	2012
900	W Hastings St	South			2	Prior 2010
1055	W Hastings St	North			2	Prior 2010
1133	W Hastings St	North			1	2010
27	W Pender St	North			1	2015
59	W Pender St	North			1	Prior 2010
300	W Pender St	South			2	2013
309	W Pender St	North			1	2012
328	W Pender St	South		HC	1	2013
402	W Pender St	South			1	Prior 2010
416	W Pender St	South			1	2011
455	W Pender St	North			1	Prior 2010
518	W Pender St	South			1	2012
518	W Pender St	South			1	2011
605	W Pender St	North			1	2012
617	W Pender St	North			1	2012
819	W Pender St	North			1	2011
829	W Pender St	North			1	2011
830	W Pender St	South			1	2012
830	W Pender St	South			1	2011
1095	W Pender St	North			1	Prior 2010
1140	W Pender St	South		DVBIA	2	2013
250	W Pender St	West		HC	4	2016
10	Water St	South		GT	2	2012
102	Water St	South		GT	1	2012
199	Water St	North			1	Prior 2010
5367	West Boulevard	West			1	2015
2300	Willow St	West			1	2012
1500	Yew St	East			1	Prior 2010
1525	Yew St	West			1	2015
1601	Yew St	West			5	2014
1601	Yew St	West			5	2014
2327	Yew St	West			1	Prior 2010
5692	Yew St	East			2	2012
1900	York Av	North			1	2014
134	Abbott St	East		GT	1	Prior 2010
216	Abbott St	East		GT	2	2012
603	Abbott St	West		HC	1	2014
623	Abbott St	West		HC	1	2014
628	Abbott St	East		HC	1	2014
1600	Alberni St	North			1	2012
2104	Alberta St	East			2	2011
2104	Alberta St	East			2	2010
2083	Alma St	West			1	Prior 2010
2607	Alma St	West			1	Prior 2010
2621	Alma St	West			1	Prior 2010
2665	Arbutus St	West			1	2015
2696	Arbutus St	East			1	2015
2475	Bayswater St	West			1	Prior 2010
510	Beatty St	East			2	2011
546	Beatty St	East		n/a	2	2016
733	Beatty St	West		n/a	2	2016
788	Beatty St	East		n/a	2	2016
808	Beatty St	East		n/a	5	2016
837	Beatty St	West		YT	2	2016
2500	Blenheim St	West		WB	1	2011
5675	Boundary Rd	West			1	Prior 2010
401	Burrard St	West			2	2010
1088	Burrard St	East			1	2015
1980	Burrard St	East			1	Prior 2010
2445	Burrard St	West			1	Prior 2010
814	Bute St	East			1	Prior 2010
220	Cambie St	East		CB	2	2016
322	Cambie St	East		CB	1	2016
548	Cambie St	East		n/a	1	2016
845	Cambie St	West		YT	3	2014
1008	Cambie St	South		YT	2	2016
2335	Cambie St	West			2	Prior 2010
2893	Cambie St	West			2	Prior 2010
2925	Cambie St	West		CB	1	2016
3305	Cambie St	West			1	Prior 2010
3440	Cambie St	East			1	Prior 2010
4030	Cambie St	East		CB	1	2016
4050	Cambie St	East		CB	1	2016
8430	Cambie St	East	Marine Drive		4	2012
8500	Cambie St	East			1	2012
360	Carrall St	East		HC	1	2017
1100	Chestnut St	East			6	2015
1215	Clark Drive	West			2	2015
1345	Clark Drive	West			3	2015
203	Columbia St	North			2	2014
302	Columbia St	East			1	Prior 2010
303	Columbia St	West			1	2014
1025	Commercial Drive	West			1	2012
1045	Commercial Drive	West			2	Prior 2010
1111	Commercial Drive	West			2	2012
1132	Commercial Drive	East			1	Prior 2010
1135	Commercial Drive	West			1	2012
1204	Commercial Drive	East			1	Prior 2010
1365	Commercial Drive	West			1	2012
1620	Commercial Drive	East			1	Prior 2010
1675	Commercial Drive	West			1	Prior 2010
2210	Commercial Drive	East			1	Prior 2010
2279	Commercial Drive	West			1	Prior 2010
2290	Commercial Drive	East			1	Prior 2010
2598	Commercial Drive	East			1	Prior 2010
2733	Commercial Drive	West			2	2015
2879	Commercial Drive	West			3	2015
100	Cordova St	South		HC	1	2014
119	Cordova St	North		HC	1	2014
1941	Cornwall Av	North			1	Prior 2010
1945	Cornwall Av	North			1	Prior 2010
3425	Crowley	North			1	2014
1670	Cypress St	East			2	2015
216	Davie St	South			1	Prior 2010
746	Davie St	North			1	Prior 2010
1248	Davie St	South			1	2015
1762	Davie St	South			1	Prior 2010
679	Denman St	West			1	Prior 2010
768	Denman St	East			1	Prior 2010
823	Denman St	West			1	Prior 2010
935	Denman St	West			1	Prior 2010
1015	Denman St	West			3	Prior 2010
1100	Denman St	East			5	Prior 2010
1156	Denman St	East			1	Prior 2010
3322	Dunbar St	East			1	Prior 2010
3335	Dunbar St	West			1	Prior 2010
3468	Dunbar St	East			1	Prior 2010
3637	Dunbar St	West			1	Prior 2010
4250	Dunbar St	East			2	Prior 2010
4355	Dunbar St	West			1	Prior 2010
4395	Dunbar St	West			1	Prior 2010
4428	Dunbar St	East			1	Prior 2010
4497	Dunbar St	West			1	2012
4555	Dunbar St	West			1	Prior 2010
4603	Dunbar St	West			1	Prior 2010
5587	Dunbar St	West			1	Prior 2010
143	Dunlevy Av	West		STRC	2	2017
111	Dunsmuir St	East		n/a	2	2016
885	Dunsmuir St	North			1	Prior 2010
888	Dunsmuir St	South			1	Prior 2010
295	E 11th Av	North			1	Prior 2010
1680	E 13th Av	South			1	2015
175	E 15th Av	North			3	2015
607	E 15th Av	North			2	2012
639	E 15th Av	North			1	2012
665	E 15th Av	North			2	2011
2790	E 29th Av	South	29th Ave		3	2012
238	E 2nd Ave	South		50	2	2014
112	E 3rd Av	South			1	2012
127	E 4th Av	North			1	2012
137	E 4th Av	North			1	2012
7	E 6th Av	North			1	2012
73	E 6th Av	North			2	2015
156	E 7th Av	South			2	2012
5	E 8th St	South			4	2013
1464	E Broadway	South			1	2013
2406	E Broadway	South		n/a	2	2016
44	E Cordova St	South		GT	1	Prior 2010
138	E Cordova St	South		GT	2	Prior 2010
628	E Georgia St	South		CHTN	1	Prior 2010
326	E Hastings St	South			1	2015
533	E Hastings St	North			1	Prior 2010
533	E Hastings St	North			1	2013
573	E Hastings St	North		STRC	1	2012
660	E Hastings St	South			1	2015
678	E Hastings St	South			1	2015
684	E Hastings St	South			1	Prior 2010
855	E Hastings St	North			1	2015
879	E Hastings St	North			1	2015
895	E Hastings St	North		STRC	1	2016
1298	E Hastings St	South			3	2015
1618	E Hastings St	South			1	Prior 2010
1618	E Hastings St	South			1	2012
2769	E Hastings St	North			2	Prior 2010
3423	E Hastings St	North			1	2011
3435	E Hastings St	North			1	2011
3475	E Hastings St	North			1	2011
3599	E Hastings St	North			1	2011
1523	E Pender St	North			3	2015
3213	Fraser St	West			1	2011
3227	Fraser St	West			1	2011
3485	Fraser St	West			2	2013
4304	Fraser St	East			1	2012
4326	Fraser St	East			2	2015
4588	Fraser St	East			1	2013
5550	Fraser St	East			1	Prior 2010
5907	Fraser St	West		SHL	1	2011
5914	Fraser St	East		SHL	1	2011
6105	Fraser St	West		SHL	1	2011
6204	Fraser St	East		SHL	1	2011
6207	Fraser St	West		SHL	1	2011
6305	Fraser St	West			2	Prior 2010
6505	Fraser St	West		SHL	1	2011
747	Gore St	West		CHTN	1	2013
1043	Granville St	West			1	Prior 2010
1117	Granville St	West			4	2012
1149	Granville St	West			1	Prior 2010
2447	Granville St	West			1	Prior 2010
2600	Granville St	East			1	Prior 2010
2723	Granville St	West		SGV	1	2013
2775	Granville St	West			1	Prior 2010
2801	Granville St	West		SGV	1	2013
3047	Granville St	West			1	2015
3097	Granville St	North		SGV	1	2013
3149	Granville St	West		SGV	1	2013
8002	Granville St	East			1	Prior 2010
8168	Granville St	East		MRP	1	2012
8273	Granville St	West		MRP	1	2012
8435	Granville St	West		MRP	1	2012
